N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,
1,삼성전자,"74,400","2,600",-3.38%,100,"4,441,518","5,969,783",52.65,"60,795,942",17.86,9.99,
2,SK하이닉스,"101,500","1,000",+1.00%,"5,000","738,922","728,002",46.04,"11,283,673",14.50,9.53,
3,NAVER,"436,500","4,000",-0.91%,100,"717,010","164,263",56.74,"479,201",4.45,15.22,
4,삼성바이오로직스,"983,000","11,000",+1.13%,"2,500","650,402","66,165",10.47,"144,949",245.14,N/A,
5,카카오,"146,000","1,500",-1.02%,100,"649,272","444,707",31.63,"2,142,050",212.52,2.70,
6,LG화학,"896,000","18,000",+2.05%,"5,000","632,507","70,592",47.69,"397,356",39.00,2.93,
7,삼성전자우,"69,600","2,200",-3.06%,100,"572,729","822,887",75.75,"5,418,047",16.71,N/A,
8,삼성SDI,"817,000",0,0.00%,"5,000","561,806","68,765",44.31,"328,128",80.03,4.54,
9,현대차,"217,000","2,000",-0.91%,"5,000","463,660","213,668",28.67,"859,831",26.26,2.04,
10,셀트리온,"275,500","6,000",-2.13%,"1,000","379,960","137,917",20.75,"778,049",63.20,16.68,
11,카카오뱅크,"76,600","2,800",+3.79%,"5,000","363,927","475,100",4.69,"10,830,529",247.90,5.08,
12,기아,"85,200","1,400",-1.62%,"5,000","345,370","405,363",33.64,"1,452,267",15.30,5.05,
13,POSCO,"341,000","3,000",+0.89%,"5,000","297,307","87,187",54.19,"339,054",13.32,3.61,
14,현대모비스,"268,500","2,000",-0.74%,"5,000","254,519","94,793",35.64,"231,531",14.33,4.66,
15,삼성물산,"134,000","1,000",-0.74%,100,"250,429","186,887",15.16,"472,441",15.96,3.81,
16,LG전자,"150,500","2,500",-1.63%,"5,000","246,290","163,648",31.75,"912,273",14.02,13.23,
17,SK이노베이션,"248,500","6,500",+2.69%,"5,000","229,777","92,466",22.81,"1,084,462",-23.50,-13.58,
18,LG생활건강,"1,444,000","23,000",+1.62%,"5,000","225,527","15,618",45.17,"49,136",31.13,17.92,
19,KB금융,"53,200",200,-0.37%,"5,000","221,210","415,808",67.37,"1,235,150",5.54,8.53,
20,SK바이오사이언스,"288,500","3,000",+1.05%,500,"220,702","76,500",3.74,"2,902,264",224.16,13.25,
21,SK텔레콤,"306,000","6,500",-2.08%,500,"220,504","72,060",46.89,"255,485",14.09,6.44,
22,크래프톤,"437,000","31,000",+7.64%,100,"213,685","48,898",5.55,"1,655,181",39.46,61.86,
23,신한지주,"38,900",450,-1.14%,"5,000","200,957","516,600",60.10,"1,339,799",5.46,8.20,
24,SK,"266,500","5,000",-1.84%,200,"187,510","70,360",20.28,"202,465",31.04,1.11,
25,엔씨소프트,"786,000","20,000",-2.48%,500,"172,559","21,954",51.49,"106,497",36.50,20.83,
26,한국전력,"24,750",200,-0.80%,"5,000","158,886","641,964",15.39,"2,769,679",7.73,2.91,
27,HMM,"39,150","1,500",-3.69%,"5,000","158,711","405,392",9.50,"5,637,986",37.11,8.93,
28,SK아이이테크놀로지,"214,500","3,000",-1.38%,"1,000","152,933","71,298",8.58,"545,914",N/A,11.00,
29,삼성생명,"76,200",300,-0.39%,500,"152,400","200,000",13.07,"420,571",7.18,3.53,
30,LG,"94,000",900,-0.95%,"5,000","147,863","157,301",33.22,"355,662",8.63,7.50,
31,삼성에스디에스,"175,500","3,500",-1.96%,500,"135,798","77,378",11.60,"133,644",21.58,6.71,
32,삼성전기,"179,500","5,500",-2.97%,"5,000","134,075","74,694",33.11,"635,030",19.75,10.92,
33,하나금융지주,"44,650",650,-1.43%,"5,000","134,058","300,242",67.82,"1,287,749",4.76,8.96,
34,아모레퍼시픽,"220,500","4,000",-1.78%,500,"128,901","58,458",33.52,"163,053",154.30,0.78,
35,포스코케미칼,"155,000","2,000",+1.31%,500,"120,068","77,463",7.88,"476,452",186.30,2.96,
36,하이브,"299,000","4,500",-1.48%,500,"116,762","39,051",16.32,"157,848",106.37,12.52,
37,KT&G,"81,800",100,-0.12%,"5,000","112,305","137,292",36.79,"520,944",9.75,13.22,
38,넷마블,"127,000","5,000",-3.79%,100,"109,161","85,954",22.74,"429,363",34.55,6.35,
39,두산중공업,"20,800",900,-4.15%,"5,000","106,583","512,416",5.66,"6,186,583",-11.69,-37.20,
40,S-Oil,"93,800","1,300",-1.37%,"2,500","105,603","112,583",78.02,"231,696",25.48,-13.07,
41,삼성화재,"219,000","3,500",+1.62%,500,"103,751","47,375",48.08,"215,609",10.91,4.96,
42,대한항공,"29,800",100,-0.33%,"5,000","103,651","347,821",10.78,"2,043,962",12.74,-7.22,
43,고려아연,"525,000","7,000",-1.32%,"5,000","99,068","18,870",20.22,"52,703",15.37,8.37,
44,SK바이오팜,"121,500","2,500",-2.02%,500,"95,151","78,313",6.81,"349,917",-176.34,-135.18,
45,KT,"34,150",50,-0.15%,"5,000","89,170","261,112",44.21,"1,084,617",11.85,4.76,
46,한온시스템,"16,150",100,+0.62%,100,"86,209","533,800",17.78,"1,890,303",63.83,5.09,
47,롯데케미칼,"248,000","9,000",-3.50%,"5,000","85,003","34,275",26.70,"219,074",11.45,1.22,
48,한국조선해양,"119,000","1,000",-0.83%,"5,000","84,220","70,773",17.60,"349,780",-9.11,-7.42,
49,우리금융지주,"11,100",100,-0.89%,"5,000","80,172","722,268",28.03,"2,488,169",5.51,5.87,
50,기업은행,"10,250",100,-0.97%,"5,000","76,291","744,301",12.88,"1,502,196",5.02,6.44,
51,LG디스플레이,"20,800",750,-3.48%,"5,000","74,426","357,816",17.79,"3,881,288",22.03,-0.79,
52,한화솔루션,"38,700",900,-2.27%,"5,000","74,025","191,278",16.74,"946,885",10.38,5.30,
53,현대글로비스,"187,500","2,000",-1.06%,500,"70,312","37,500",34.67,"118,313",12.22,12.45,
54,현대제철,"50,500",0,0.00%,"5,000","67,390","133,446",20.36,"723,599",-64.33,-2.59,
55,CJ제일제당,"445,500","3,500",-0.78%,"5,000","67,066","15,054",24.51,"63,506",17.92,13.50,
56,LG유플러스,"14,400",50,-0.35%,"5,000","62,872","436,611",32.86,"1,370,448",12.13,6.46,
57,SKC,"163,500",500,-0.30%,"5,000","61,915","37,868",13.41,"307,159","-2,595.24",2.21,
58,에스디바이오센서,"59,000","2,200",-3.59%,500,"60,930","103,271",2.10,"2,400,739",8.94,139.97,
59,한국타이어앤테크놀로지,"47,500","1,500",-3.06%,500,"58,841","123,875",41.73,"374,756",13.09,5.12,
60,금호석유,"192,500","5,000",-2.53%,"5,000","58,650","30,468",20.64,"389,844",6.93,20.18,
61,현대건설,"51,900",700,-1.33%,"5,000","57,794","111,356",20.86,"571,120",46.93,1.84,
62,강원랜드,"26,750",550,-2.01%,500,"57,229","213,940",19.31,"1,075,661",-35.62,-7.92,
63,미래에셋증권,"8,750",160,-1.80%,"5,000","55,590","635,316",13.77,"1,793,976",6.97,8.94,
64,코웨이,"75,200",900,-1.18%,500,"55,497","73,800",59.08,"244,797",12.93,31.51,
65,현대중공업지주,"67,800",800,-1.17%,"1,000","53,557","78,993",17.30,"163,668",-23.68,-8.12,
66,한국금융지주,"94,800",900,-0.94%,"5,000","52,828","55,726",34.49,"288,643",4.23,16.27,
67,한미사이언스,"77,400","1,600",+2.11%,500,"52,094","67,305",1.58,"333,716",188.32,3.47,
68,F&F,"660,000","5,000",+0.76%,500,"50,565","7,661",10.33,"27,933",N/A,N/A,
69,LG이노텍,"213,000","4,000",+1.91%,"5,000","50,411","23,667",30.78,"223,173",12.39,10.20,
70,이마트,"175,500","6,500",+3.85%,"5,000","48,922","27,876",34.37,"308,157",12.10,4.05,
71,아모레G,"56,400","1,200",-2.08%,500,"46,506","82,458",17.39,"215,970",110.59,0.31,
72,KODEX 200,"41,630",715,-1.69%,0,"46,188","110,950",4.60,"5,942,133",N/A,N/A,
73,오리온,"116,500","1,000",-0.85%,500,"46,060","39,536",38.73,"87,566",17.31,15.50,
74,맥쿼리인프라,"12,300",50,+0.41%,0,"45,780","372,192",15.34,"792,262",N/A,N/A,
75,삼성엔지니어링,"23,050",450,-1.91%,"5,000","45,178","196,000",32.21,"2,771,161",15.54,17.32,
76,두산밥캣,"43,250","1,500",-3.35%,500,"43,358","100,249",25.93,"397,355",13.17,6.15,
77,한진칼,"64,600","1,400",-2.12%,"2,500","43,113","66,739",14.83,"105,373",-52.61,-19.55,
78,유한양행,"60,700",200,-0.33%,"1,000","42,474","69,973",17.78,"196,671",44.27,11.06,
79,DB손해보험,"59,400","1,400",+2.41%,500,"42,055","70,800",43.02,"279,712",6.78,9.08,
80,삼성증권,"47,000",200,-0.42%,"5,000","41,971","89,300",28.84,"626,116",5.37,9.89,
81,쌍용C&E,"8,000",70,-0.87%,100,"40,309","503,860",3.59,"776,399",29.20,7.92,
82,삼성카드,"34,250",50,+0.15%,"5,000","39,682","115,859",8.28,"162,402",9.34,5.69,
83,팬오션,"7,410",340,-4.39%,"1,000","39,612","534,570",10.53,"8,212,368",31.53,3.25,
84,GS,"41,850",150,-0.36%,"5,000","38,885","92,915",19.30,"250,875",6.14,-2.82,
85,삼성중공업,"6,170",170,-2.68%,"1,000","38,871","630,000",13.77,"5,045,234",-2.17,-33.06,
86,한미약품,"315,500","4,000",-1.25%,"2,500","38,107","12,078",12.74,"42,926",162.38,1.65,
87,CJ대한통운,"165,500","3,500",-2.07%,"5,000","37,754","22,812",22.78,"61,739",31.45,3.89,
88,롯데지주,"35,950",700,-1.91%,200,"37,715","104,909",8.37,"258,114",-88.33,-3.03,
89,일진머티리얼즈,"80,700","1,200",-1.47%,500,"37,211","46,111",9.75,"379,368",92.55,7.23,
90,현대차2우B,"100,000","2,500",-2.44%,"5,000","36,485","36,485",61.32,"200,091",12.10,N/A,
91,NH투자증권,"12,800",150,-1.16%,"5,000","36,020","281,409",17.96,"639,649",4.79,10.32,
92,녹십자,"307,000","4,500",-1.44%,"5,000","35,878","11,687",20.77,"68,715",35.83,7.48,
93,GS건설,"41,750",600,-1.42%,"5,000","35,730","85,581",25.99,"526,192",10.04,7.68,
94,신풍제약,"66,800","5,000",-6.96%,500,"35,394","52,985",9.12,"3,487,567",776.74,1.72,
95,호텔신라,"90,000","2,200",-2.39%,"5,000","35,323","39,248",18.20,"501,058",-17.03,-36.74,
